numero_processo;dia_semana;ano
07536050920258020001;Terça;2025
00000024120258020008;Terça;2025
07535202320258020001;Segunda;2025
07162809720258020001;Segunda;2025
00375805020118020001;Segunda;2025
07585021720248020001;Segunda;2025
07008348020258020057;Segunda;2025
07532509620258020001;Segunda;2025
07015754420258020050;Segunda;2025
07141668820258020001;Segunda;2025
08122737320258020000;Sexta;2025
07528759520258020001;Sexta;2025
07008884420258020090;Sexta;2025
07520294920238020001;Sexta;2025
08122563720258020000;Quinta;2025
07048866420238020001;Quinta;2025
07249165220258020001;Quinta;2025
07010027320258020060;Quinta;2025
08121957920258020000;Quarta;2025
08121723620258020000;Quarta;2025
07523164120258020001;Quarta;2025
07018645920258020055;Quarta;2025
08121057120258020000;Terça;2025
08120918720258020000;Terça;2025
08120892020258020000;Terça;2025
07236408820228020001;Terça;2025
07470590620238020001;Terça;2025
07025476420258020001;Terça;2025
07018585220258020055;Terça;2025
07167063520258020058;Segunda;2025
07518427020258020001;Segunda;2025
07331673020238020001;Segunda;2025
07400018320228020001;Segunda;2025
07005071520238020055;Segunda;2025
07204331320248020001;Sexta;2025
08119965720258020000;Sexta;2025
07012593220258020082;Sexta;2025
07025107520258020053;Sexta;2025
07011593920258020030;Sexta;2025
07164639120258020058;Sexta;2025
07513325720258020001;Sexta;2025
08050169420258020000;Quinta;2025
07512961520258020001;Quinta;2025
08119429120258020000;Quinta;2025
07512858320258020001;Quinta;2025
08119117120258020000;Quinta;2025
07455097320238020001;Quarta;2025
07494076020248020001;Quarta;2025
07012669720258020090;Terça;2025
07038444320248020001;Terça;2025
07207126720228020001;Terça;2025
08118329220258020000;Terça;2025
08118077920258020000;Terça;2025
07008511220258020027;Segunda;2025
07104465020248020001;Segunda;2025
07503573520258020001;Segunda;2025
07116202020248020058;Segunda;2025
07295214620228020001;;2025
08057391620258020000;;2025
07027193520258020056;;2025
08116978020258020000;Sexta;2025
08116942820258020000;Sexta;2025
07500014020258020001;Sexta;2025
07012479120258020090;Sexta;2025
07012460920258020090;Sexta;2025
08116795920258020000;Sexta;2025
08116674520258020000;Sexta;2025
08116094220258020000;Quinta;2025
07159529320258020058;Quarta;2025
08115808920258020000;Quarta;2025
07019827120238020001;Terça;2025
07116795320228020001;Terça;2025
07489846620258020001;Segunda;2025
08043084420258020000;Segunda;2025
07488633820258020001;Segunda;2025
00000170420258020204;Segunda;2025
07404648820238020001;Segunda;2025
07023740820258020044;Quinta;2025
08113357820258020000;Quinta;2025
