numero_processo;dia_semana;ano
30005416620258060000;Quarta;2025
30005416620258060000;Quarta;2025
30000155320258060177;Terça;2025
30056895520258060001;Terça;2025
30000017520238060036;Terça;2025
02186962120248060001;Segunda;2025
30004568020258060000;Segunda;2025
02186962120248060001;Segunda;2025
02005798820228060053;Segunda;2025
30002535320258060151;Sexta;2025
30004350720258060000;Sexta;2025
30001107520258060115;Sexta;2025
06206518820258060000;Sexta;2025
02027048320258060001;Sexta;2025
30044978720258060001;Quinta;2025
30047316920258060001;Quinta;2025
30043038720258060001;Quarta;2025
30002844120258060000;Terça;2025
02424708020248060001;Terça;2025
02666881220238060001;Terça;2025
30034507820258060001;;2025
30000399420258060108;Sexta;2025
30000407920258060108;Sexta;2025
30025621220258060001;Quarta;2025
30025976920258060001;Quarta;2025
30021923320258060001;Terça;2025
30023932520258060001;Terça;2025
30001186120258060112;Terça;2025
02010461620228060070;Terça;2025
30022876320258060001;Terça;2025
30018831220258060001;Segunda;2025
30020745720258060001;Segunda;2025
30002104320248060122;Segunda;2025
30000182020258069000;Segunda;2025
30000991120238060117;Segunda;2025
30002104320248060122;Segunda;2025
30002104320248060122;Segunda;2025
30000804920258060112;Sexta;2025
02008496920258060001;Quinta;2025
02005517720258060001;Terça;2025
30000202420258060000;Segunda;2025
30000202420258060000;Segunda;2025
02001048920258060001;Quinta;2025
30000618520258060001;Quinta;2025
02090472920248060293;Segunda;2024
02894031420248060001;Segunda;2024
06398572520248060000;Segunda;2024
02079453020248060112;Segunda;2024
02891009720248060001;Quinta;2024
02886306620248060001;Sexta;2024
30083799420248060000;Sexta;2024
30028756220248060112;Quinta;2024
02048374020248060064;Quinta;2024
30442014420248060001;Quinta;2024
02884383620248060001;Quinta;2024
30438308020248060001;Quarta;2024
30002411320248060074;Quarta;2024
02449896220238060001;Quarta;2024
02478719420238060001;Terça;2024
30012864820248060043;Terça;2024
30427967020248060001;Segunda;2024
30427351520248060001;Segunda;2024
02005834720228060176;Segunda;2024
02007846720248060144;Sexta;2024
02698706920248060001;Sexta;2024
30007744620248060114;Sexta;2024
30425239120248060001;Sexta;2024
30012154420248069000;Sexta;2024
30027725520248060112;Sexta;2024
02767135020248060001;Sexta;2024
02013566320248060163;Sexta;2024
30423532220248060001;Sexta;2024
30322153020238060001;Sexta;2024
30417297020248060001;Quinta;2024
30011329120248060055;Quarta;2024
02006103320228060175;Quarta;2024
30080049320248060000;Terça;2024
02074096120248060001;Terça;2024
02869938020248060001;Terça;2024
02869808120248060001;Terça;2024
30406038220248060001;Segunda;2024
30007001720248060041;Sexta;2024
30078160320248060000;Sexta;2024
00260179120248060001;Sexta;2024
30400876220248060001;Quinta;2024
30400079820248060001;Quinta;2024
30004856920248060161;Quinta;2024
30003706320248060156;Quinta;2024
02504819820248060001;Quinta;2024
30400260720248060001;Quinta;2024
30016357920248060163;Quarta;2024
30030027720248060151;Quarta;2024
02002594520248060028;Quarta;2024
06389046120248060000;Quarta;2024
30030001020248060151;Quarta;2024
30006939220248060051;Terça;2024
30024039420248060101;Terça;2024
30390855720248060001;Terça;2024
02002918920248060112;Terça;2024
02064507720248060167;Segunda;2024
02858063720248060001;Segunda;2024
30075034220248060000;Segunda;2024
02857500420248060001;;2024
30012251220248060166;;2024
02322170420228060001;Sexta;2024
02042328920248060001;Sexta;2024
02051220520238060117;Sexta;2024
30074765920248060000;Sexta;2024
30019815020248060221;Sexta;2024
30379873720248060001;Quinta;2024
30009470520248060168;Quinta;2024
30002602620248060104;Quinta;2024
02124565020238060001;Quinta;2024
30382446220248060001;Quinta;2024
30004571020238060041;Quinta;2024
30381943620248060001;Quinta;2024
30381909620248060001;Quinta;2024
02073260320248060112;Quinta;2024
02854512720248060001;Quinta;2024
02221963220238060001;Quarta;2024
02850104620248060001;Quarta;2024
30002422720238060108;Quarta;2024
30002463620248060203;Terça;2024
02025387220248060070;Segunda;2024
02013080720248060163;Segunda;2024
30005216820248060143;;2024
30005225320248060143;;2024
30023585720248060112;Sexta;2024
02008860320248060108;Sexta;2024
02842405320248060001;Quinta;2024
30155694220238060001;Quinta;2024
30068512520248060000;Quinta;2024
30155694220238060001;Quinta;2024
30068512520248060000;Quinta;2024
30068962920248060000;Quinta;2024
